patient,label,pct_merfish,pct_scrna,log2_ratio,is_key
C107,B,0.101165740611041,1.54066642780365,-3.80210422624116,FALSE
C107,Bgc,0.0747070084512303,0.573271228950197,-2.78361366733806,FALSE
C107,Bgc-CD40,0.0715942164324291,0.0716589036187746,-0.00114330296174001,FALSE
C107,Bgc-CD40-prolif,0.138519244836656,0.286635614475099,-0.998041935345604,FALSE
C107,Bgc-GPR183,0.186767521128076,0.644930132568972,-1.73484890331762,FALSE
C107,Endo,0.672363076061073,0,6.09246767673579,FALSE
C107,Endo-art,0.801543944841325,0.465782873522035,0.770365877509173,FALSE
C107,Endo-cap,1.19219934320088,0.214976710856324,2.41782856763282,FALSE
C107,Endo-lymph,0.373535042256152,0.286635614475099,0.370666577634058,FALSE
C107,Endo-prolif,0.795318360803723,0,6.33148732128897,FALSE
C107,Endo-tip,0.46847519882959,0,5.58037224122278,FALSE
C107,Endo-ven,2.85598667725016,0.573271228950197,2.29679308601446,FALSE
C107,Fibro-BMP,7.84890507540739,0.0358294518093873,7.42190948699145,FALSE
C107,Fibro-CCL2,7.53451308150846,0.0716589036187746,6.52967378527044,FALSE
C107,Fibro-CXCL14,4.71121072045571,0,8.88301306555122,FALSE
C107,Fibro-GREM1,7.54073866554606,0,9.56047397553601,FALSE
C107,Fibro-MMP3,1.46301224883659,0,7.20262561693215,FALSE
C107,Fibro-StemNiche,27.9046240525439,0.609100680759584,5.49470327049208,FALSE
C107,Fibro-myo,0.364196666199748,0,5.22572480023646,FALSE
C107,ILC3,0.0606994443666247,1.14654245790039,-4.03197554277881,FALSE
C107,Mast,0.437347278641578,0,5.48332333491385,FALSE
C107,Myeloid-DC-pDC_ASDC,0.58987408756284,3.9412396990326,-2.71957375034983,FALSE
C107,Myeloid-DC1,0.00155639600940063,0.0358294518093873,-1.98758348147805,FALSE
C107,Myeloid-DC2,0.188323917137476,0.429953421712648,-1.14949212054564,FALSE
C107,Myeloid-DC2-C1Q,0.0980529485922398,0.179147259046937,-0.807771428715327,FALSE
C107,Myeloid-DCmreg,0.961852733809591,0.788247939806521,0.283900792458741,TRUE
C107,Myeloid-Granulo,0.681701452117477,0.250806162665711,1.40717152529665,FALSE
C107,Myeloid-ISGhigh,0.239684985447697,2.04227875313508,-3.03904572598633,TRUE
C107,Myeloid-ISGlow,4.10421627678947,1.89896094589753,1.10783004773283,TRUE
C107,Myeloid-Macro,3.36337177631477,2.61554998208527,0.361571665027505,FALSE
C107,Myeloid-Macro-C1Q,0.873138161273755,1.28986026513794,-0.55764548101725,FALSE
C107,Myeloid-Macro-MMP9-APOE,5.26217490778354,0.573271228950197,3.17615941634588,FALSE
C107,Myeloid-Macro-SEPP1-LYVE1,5.78045477891395,1.18237190970978,2.27984236772758,FALSE
C107,Myeloid-Macro-prolif,0.27081290563571,0.0358294518093873,2.61526230665056,FALSE
C107,Myeloid-Mono-CSF1R,0.22100823333489,1.03905410247223,-2.1830729068223,FALSE
C107,Myeloid-Mono-S100-VCAN,0.287933261739117,1.32568971694733,-2.16452380371592,FALSE
C107,Myeloid-Mono-VEGFA,0.717498560333691,0.824077391615908,-0.197236860322579,FALSE
C107,Myeloid-inflamm,0.568084543431231,1.28986026513794,-1.16900413816016,FALSE
C107,NK-CD16,0.0669250284042272,5.05195270512361,-6.04009714661893,FALSE
C107,NK-XCL1,0.0124511680752051,0.93156574704407,-5.39019942627428,FALSE
C107,Pericyte,5.45983720097742,0,9.095354084431,FALSE
C107,Schwann,1.2264400554077,0,6.950048487034,FALSE
C107,SmoothMuscle,1.7244867784159,0.967395198853458,0.827494920412843,FALSE
C107,Tcd4-CXCL13,0.155639600940063,9.38731637405948,-5.82612928272989,FALSE
C107,Tcd4-IL7R,0.350189102115142,9.81726979577213,-4.76996422702786,FALSE
C107,Tcd4-TFH,0.0638122363854259,1.61232533142243,-4.45805934573235,FALSE
C107,Tcd4-Treg,0.51672347512101,7.30920816911501,-3.79656991415637,FALSE
C107,Tcd4-Treg-prolif,0.029571524178612,2.43640272303834,-5.95005547267339,FALSE
C107,Tcd8-CXCL13,0.105834928639243,7.73916159082766,-6.06389797705613,TRUE
C107,Tcd8-CXCL13-LAG3,0,3.36796847008241,-8.40001205187849,TRUE
C107,Tcd8-CXCL13-prolif,0.0933837605640379,3.26048011465425,-4.98342095129489,TRUE
C107,Tcd8-GZMK,0.115173304695647,8.4915800788248,-6.08573217995511,TRUE
C107,Tcd8-HOBIT,0.118286096714448,7.0584020064493,-5.7839473648934,FALSE
C107,Tcd8-gdlike,0.0186767521128076,2.65137943389466,-6.53614876463589,FALSE
C107,Tcd8-gdlike-PD1,0.0451354842726183,0,2.46298111202925,FALSE
C107,Tplzf-gdlike,0.076263404460631,3.22465066284486,-5.22871744720669,FALSE
