lineage,old_label,new_label,N
TNKILC,cTNI26 (ILC3),ILC3,622
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd4-Treg,240
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd8-GZMK,89
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd8-GZMK,4
TNKILC,cTNI23 (NK CD16A+),NK-XCL1,42
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd8-GZMK,969
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd8-gdlike,8
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd4-CXCL13,1288
TNKILC,cTNI17 (gd-like T),Tcd8-HOBIT,574
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd8-GZMK,28
TNKILC,cTNI21 (PLZF+ T prolif),Tcd8-CXCL13-prolif,161
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd4-IL7R,22
TNKILC,cTNI26 (ILC3),Tcd4-CXCL13,5
TNKILC,cTNI08 (CD4+ Treg),Tcd4-IL7R,426
TNKILC,cTNI11 (CD8+GZMK+),Tcd4-CXCL13,137
TNKILC,cTNI20 (PLZF+ T),Tcd4-CXCL13,54
TNKILC,cTNI06 (CD4+ TFH),Tcd4-TFH,310
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd4-CXCL13,52
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd4-IL7R,2249
TNKILC,cTNI21 (PLZF+ T prolif),Tplzf-gdlike-prolif,416
TNKILC,cTNI10 (CD8+ IL7R+),Tcd4-CXCL13,203
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd4-CXCL13,128
TNKILC,cTNI10 (CD8+ IL7R+),Tcd8-CXCL13,227
TNKILC,cTNI25 (NK XCL1+),ILC3,62
TNKILC,cTNI25 (NK XCL1+),Tplzf-gdlike,47
TNKILC,cTNI12 (CD8+ IL7R+),Tcd8-CXCL13-LAG3,38
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd4-CXCL13,283
TNKILC,cTNI11 (CD8+GZMK+),Tcd8-HOBIT,311
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd8-CXCL13-LAG3,74
TNKILC,cTNI01 (CD4+ IL7R+),Tcd4-IL7R,531
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd8-CXCL13-LAG3,618
TNKILC,cTNI06 (CD4+ TFH),Tcd4-IL7R,132
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd4-CXCL13,747
TNKILC,cTNI21 (PLZF+ T prolif),Tcd4-Treg-prolif,60
TNKILC,cTNI10 (CD8+ IL7R+),Tcd8-CXCL13-LAG3,98
TNKILC,cTNI10 (CD8+ IL7R+),ILC3,60
