lineage,old_label,new_label,N
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tplzf-gdlike-prolif,12
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd4-Treg-prolif,110
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd8-CXCL13,245
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd4-TFH,2
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd8-GZMK,208
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd8-CXCL13-LAG3,66
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd4-CXCL13,299
TNKILC,cTNI11 (CD8+GZMK+),Tcd4-IL7R,31
TNKILC,cTNI11 (CD8+GZMK+),ILC3,13
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),NK-CD16,17
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd8-HOBIT,322
TNKILC,cTNI08 (CD4+ Treg),Tcd4-IL7R,52
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd8-CXCL13-LAG3,15
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd8-GZMK,58
TNKILC,cTNI12 (CD8+ IL7R+),Tcd8-GZMK,5
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd4-CXCL13,27
TNKILC,cTNI11 (CD8+GZMK+),NK-CD16,7
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd8-gdlike,31
TNKILC,cTNI19 (gd-like T prolif),Tcd8-CXCL13-prolif,23
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd4-IL7R,11
TNKILC,cTNI08 (CD4+ Treg),Tcd4-CXCL13,23
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd4-Treg-prolif,4
TNKILC,cTNI22 (cTNI22),Tcd4-IL7R,10
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd8-GZMK,9
TNKILC,cTNI23 (NK CD16A+),Tplzf-gdlike,2
