MMRstatus,population,xbin,ybin,x_mid,y_mid,n_pat,val,lo,hi,n_pat_arm
MMRd,Myeloid-noDC-noGran,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,8,26.0909266246369,21.1968194345592,36.3361708596185,8
MMRd,Tcd4-CXCL13,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,7,0.591715976331361,0.386342354289171,1.15415739084118,8
MMRd,Tcd4-Treg-comb,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,8,2.23814862267777,1.55137744026772,3.39884068997968,8
MMRd,Tcd8-CXCL13-comb,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,7,1.2970168612192,0.606868307861261,1.8784867109342,8
MMRd,CD8-all,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,8,2.38230671151267,1.67560858424087,3.33671088554007,8
MMRd,Tcd8-CXCL13-LAG3,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,6,0.323972030098047,0.203982805742033,0.559195700569524,8
MMRd,Tcd8-HOBIT,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,5,0.453955901426719,0.443190975020145,0.847457627118644,8
MMRd,Tplzf-gdlike-comb,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,8,0.488863526861627,0.400098380159239,0.998061981636883,8
MMRd,Myeloid-mregDC,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,6,1.73295454545455,1.43939393939394,2.30081106870229,8
MMRd,Myeloid-ISG,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,7,15.2777777777778,13.1658326383097,21.4522058823529,8
MMRd,Myeloid-noDC-noGran,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,7,27.7777777777778,24.345982763414,33.4913793103448,8
MMRd,Tcd4-CXCL13,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,5,1.68195718654434,1.38888888888889,2.5,8
MMRd,Tcd4-Treg-comb,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,4,3.03933833750348,1.87250507738637,4.47443181818182,8
MMRd,Tcd8-CXCL13-comb,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,4,2.29252748791932,1.18678435114504,3.54462051709758,8
MMRd,CD8-all,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,5,3.51145038167939,1.875,5.81039755351682,8
MMRd,Tcd8-CXCL13-LAG3,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,4,0.950444815123714,0.687898312206737,1.19949494949495,8
MMRd,Tcd8-GZMK,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,4,0.924120795107034,0.621421755725191,2.11061301084237,8
MMRd,Tcd8-HOBIT,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,4,0.694179389312977,0.621655198776758,1.25433726578765,8
MMRd,Myeloid-ISG,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,8,3.33437097532243,2.41112466365835,4.49945365403787,8
MMRd,Myeloid-noDC-noGran,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,8,17.7304248027932,14.4030226467796,23.7019599427687,8
MMRd,Tcd4-Treg-comb,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,8,0.845466465328138,0.737967762750373,1.14021865817205,8
MMRd,Tcd8-CXCL13-comb,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,8,0.278196518338753,0.205703970221783,0.444319763813547,8
