MMRstatus,population,xbin,ybin,x_mid,y_mid,n_pat,n_pat_arm,passes
MMRd,Myeloid-mregDC,"(-10,-5]","(5.84,6.56]",-7.5,6.19998289939405,3,8,FALSE
MMRd,Myeloid-ISG,"(-10,-5]","(5.84,6.56]",-7.5,6.19998289939405,3,8,FALSE
MMRd,Myeloid-noDC-noGran,"(-10,-5]","(5.84,6.56]",-7.5,6.19998289939405,3,8,FALSE
MMRd,Tcd4-Treg-comb,"(-10,-5]","(5.84,6.56]",-7.5,6.19998289939405,2,8,FALSE
MMRd,Tcd8-CXCL13-comb,"(-10,-5]","(5.84,6.56]",-7.5,6.19998289939405,2,8,FALSE
MMRd,CD8-all,"(-10,-5]","(5.84,6.56]",-7.5,6.19998289939405,2,8,FALSE
MMRd,Tcd8-HOBIT,"(-10,-5]","(5.84,6.56]",-7.5,6.19998289939405,1,8,FALSE
MMRd,Myeloid-ISG,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,8,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,8,8,TRUE
MMRd,CD8-all,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,8,8,TRUE
MMRd,Tcd8-HOBIT,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,7,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,8,8,TRUE
MMRd,Myeloid-ISG,"(-15,-10]","(1.46,2.19]",-12.5,1.82352438217472,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-15,-10]","(1.46,2.19]",-12.5,1.82352438217472,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-15,-10]","(1.46,2.19]",-12.5,1.82352438217472,8,8,TRUE
MMRd,Myeloid-mregDC,"(-15,-10]","(2.19,2.92]",-12.5,2.55293413504461,8,8,TRUE
MMRd,Myeloid-ISG,"(-15,-10]","(2.19,2.92]",-12.5,2.55293413504461,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-15,-10]","(2.19,2.92]",-12.5,2.55293413504461,8,8,TRUE
MMRd,CD8-all,"(-15,-10]","(2.19,2.92]",-12.5,2.55293413504461,8,8,TRUE
MMRd,Myeloid-mregDC,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,8,TRUE
MMRd,Myeloid-ISG,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,8,TRUE
MMRd,CD8-all,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,8,TRUE
MMRd,Tcd8-GZMK,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,8,TRUE
MMRd,Myeloid-mregDC,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,8,TRUE
